Association,From Connection,To Connection,From Object,To Object
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1B02TBWP00001/DB02147,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1B02TBWP00001/DB02151,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP1TBWP00001/DB02147,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP5TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP5TBWP00001/DB02131,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP5TBWP00001/DB02151,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M0PTBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M0PTBWP00001/DB02151,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M0PTBWP00001/DB06755,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1K01TBWP00001/DB06755,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP5TBWP00001/DB02130,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP5TBWP00001/DB02150,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M01TBWP00001/DB00505,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M01TBWP00001/DB01527,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M01TBWP00001/DB01528,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M01TBWP00001/DB02130,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M01TBWP00001/DB02150,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M01TBWP00001/DB06755,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M01TBWP00001/DB06756,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1M01TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1FLWTBWP00001/DB00505,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1FLWTBWP00001/DB01527,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1FLWTBWP00001/DB01528,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1FLWTBWP00001/DB02130,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1FLWTBWP00001/DB02131,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1FLWTBWP00001/DB02150,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1FLWTBWP00001/DB06755,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1PSVTBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C02TBWP00001/DB00505,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1C02TBWP00001/DB06755,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP6TBWP00001/DB00625,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1F90TBWP00001/DB00625,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP8TBWP00001/DB00625,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1K03TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1VA9TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1P01TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1TERTBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1T14TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1T14TBWP00001/DB02147,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1T14TBWP00001/DB02151,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP5TBWP00001/DB02147,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1K05TBWP00001/DB00061,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1K05TBWP00001/DB06755,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
core.DirectionalDataFlow,,,Vigilanza_ORAP02://ORAP02/SDV/INP_RP1EP1TBWP00001/DB02148,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050
